Partido candidato de la coalición,U Distrito,Estado,Cabecera.Distrital,Media,DesvEst,Menor,Mayor,PROBABILIDAD DE GANAR
PRD,E30D20,VERACRUZ,COSOLEACAQUE,34.23%,0.0730,22.23%,48.54%,4.00%
PT,E30D20,VERACRUZ,COSOLEACAQUE,1.38%,0.0028,0.92%,1.92%,0.00%
PVEM,E30D20,VERACRUZ,COSOLEACAQUE,7.97%,0.0766,0.00%,22.99%,0.00%
RSP,E30D20,VERACRUZ,COSOLEACAQUE,1.90%,0.0136,0.00%,4.56%,0.00%
ES,E30D3,VERACRUZ,TUXPAN DE RODRIGUEZ CANO,2.47%,0.0522,0.00%,12.71%,0.00%
MC,E30D3,VERACRUZ,TUXPAN DE RODRIGUEZ CANO,1.24%,0.0103,0.00%,3.26%,0.00%
MORENA,E30D3,VERACRUZ,TUXPAN DE RODRIGUEZ CANO,50.38%,0.0871,36.05%,67.45%,58.02%
PAN,E30D3,VERACRUZ,TUXPAN DE RODRIGUEZ CANO,44.27%,0.0987,28.03%,63.62%,41.98%
RSP,E30D3,VERACRUZ,TUXPAN DE RODRIGUEZ CANO,0.08%,0.0100,0.00%,2.04%,0.00%
ES,E30D4,VERACRUZ,VERACRUZ,2.37%,0.0333,0.00%,8.89%,0.00%
MC,E30D4,VERACRUZ,VERACRUZ,3.36%,0.0050,2.54%,4.34%,0.00%
MORENA,E30D4,VERACRUZ,VERACRUZ,45.52%,0.0402,38.90%,53.41%,64.35%
PAN,E30D4,VERACRUZ,VERACRUZ,44.69%,0.1257,24.01%,69.32%,35.65%
RSP,E30D4,VERACRUZ,VERACRUZ,0.50%,0.0098,0.00%,2.42%,0.00%
ES,E30D5,VERACRUZ,POZA RICA DE HIDALGO,0.00%,0.0366,0.00%,7.17%,0.00%
MC,E30D5,VERACRUZ,POZA RICA DE HIDALGO,7.23%,0.0423,0.00%,15.51%,0.00%
MORENA,E30D5,VERACRUZ,POZA RICA DE HIDALGO,51.97%,0.0547,42.97%,62.70%,96.14%
PRD,E30D5,VERACRUZ,POZA RICA DE HIDALGO,34.75%,0.0567,25.43%,45.85%,3.86%
RSP,E30D5,VERACRUZ,POZA RICA DE HIDALGO,5.25%,0.0473,0.00%,14.52%,0.00%
ES,E30D6,VERACRUZ,PAPANTLA DE OLARTE,0.65%,0.0389,0.00%,8.28%,0.00%
MC,E30D6,VERACRUZ,PAPANTLA DE OLARTE,11.54%,0.0166,8.82%,14.80%,0.00%
MORENA,E30D6,VERACRUZ,PAPANTLA DE OLARTE,38.84%,0.0152,36.34%,41.82%,68.52%
PRD,E30D6,VERACRUZ,PAPANTLA DE OLARTE,37.97%,0.0658,27.15%,50.87%,31.48%
PT,E30D6,VERACRUZ,PAPANTLA DE OLARTE,1.81%,0.0023,1.43%,2.27%,0.00%
PVEM,E30D6,VERACRUZ,PAPANTLA DE OLARTE,6.29%,0.0581,0.00%,17.67%,0.00%
RSP,E30D6,VERACRUZ,PAPANTLA DE OLARTE,3.93%,0.0379,0.00%,11.36%,0.00%
ES,E30D7,VERACRUZ,MARTINEZ DE LA TORRE,0.80%,0.0366,0.00%,7.96%,0.00%
MC,E30D7,VERACRUZ,MARTINEZ DE LA TORRE,6.41%,0.0119,4.45%,8.73%,0.00%
MORENA,E30D7,VERACRUZ,MARTINEZ DE LA TORRE,42.12%,0.0108,40.34%,44.25%,85.34%
PAN,E30D7,VERACRUZ,MARTINEZ DE LA TORRE,36.78%,0.0607,26.80%,48.68%,14.66%
PT,E30D7,VERACRUZ,MARTINEZ DE LA TORRE,0.97%,0.0030,0.49%,1.55%,0.00%
PVEM,E30D7,VERACRUZ,MARTINEZ DE LA TORRE,6.20%,0.0537,0.00%,16.73%,0.00%
RSP,E30D7,VERACRUZ,MARTINEZ DE LA TORRE,2.72%,0.0169,0.00%,6.04%,0.00%
ES,E30D8,VERACRUZ,XALAPA,2.48%,0.0346,0.00%,9.25%,0.00%
MC,E30D8,VERACRUZ,XALAPA,5.51%,0.0123,3.49%,7.92%,0.00%
MORENA,E30D8,VERACRUZ,XALAPA,47.38%,0.0492,39.29%,57.03%,75.91%
PRI,E30D8,VERACRUZ,XALAPA,38.62%,0.0625,28.34%,50.88%,24.09%
RSP,E30D8,VERACRUZ,XALAPA,0.88%,0.0120,0.00%,3.22%,0.00%
ES,E30D9,VERACRUZ,COATEPEC,2.33%,0.0378,0.00%,9.74%,0.00%
MC,E30D9,VERACRUZ,COATEPEC,7.05%,0.0114,5.17%,9.29%,0.00%
MORENA,E30D9,VERACRUZ,COATEPEC,40.16%,0.0098,38.54%,42.08%,68.06%
PRI,E30D9,VERACRUZ,COATEPEC,40.53%,0.0733,28.47%,54.89%,31.94%
PT,E30D9,VERACRUZ,COATEPEC,1.07%,0.0026,0.64%,1.58%,0.00%
PVEM,E30D9,VERACRUZ,COATEPEC,5.94%,0.0646,0.00%,18.61%,0.00%
RSP,E30D9,VERACRUZ,COATEPEC,1.87%,0.0183,0.00%,5.46%,0.00%
ES,E31D1,YUCATÁN,VALLADOLID,0.77%,0.0763,0.00%,15.73%,0.02%
MC,E31D1,YUCATÁN,VALLADOLID,0.20%,0.0103,0.00%,2.21%,0.00%
MORENA,E31D1,YUCATÁN,VALLADOLID,21.46%,0.0119,19.50%,23.80%,0.13%
PAN,E31D1,YUCATÁN,VALLADOLID,26.97%,0.0151,24.48%,29.92%,66.39%
PRD,E31D1,YUCATÁN,VALLADOLID,0.59%,0.0131,0.00%,3.15%,0.00%
PRI,E31D1,YUCATÁN,VALLADOLID,29.51%,0.1439,5.83%,57.71%,26.71%
PT,E31D1,YUCATÁN,VALLADOLID,0.00%,0.0052,0.00%,1.02%,0.00%
PVEM,E31D1,YUCATÁN,VALLADOLID,11.97%,0.1593,0.00%,43.20%,6.75%
RSP,E31D1,YUCATÁN,VALLADOLID,0.33%,0.0198,0.00%,4.22%,0.00%
ES,E31D2,YUCATÁN,PROGRESO,1.79%,0.0779,0.00%,17.06%,0.16%
MC,E31D2,YUCATÁN,PROGRESO,1.05%,0.0107,0.00%,3.15%,0.00%
PAN,E31D2,YUCATÁN,PROGRESO,24.61%,0.0254,20.43%,29.59%,59.86%
PRD,E31D2,YUCATÁN,PROGRESO,1.82%,0.0112,0.00%,4.02%,0.00%
PRI,E31D2,YUCATÁN,PROGRESO,28.41%,0.1379,5.73%,55.44%,18.17%
PVEM,E31D2,YUCATÁN,PROGRESO,34.10%,0.1563,8.39%,64.73%,21.81%
RSP,E31D2,YUCATÁN,PROGRESO,2.80%,0.0114,0.93%,5.04%,0.00%
ES,E31D3,YUCATÁN,MERIDA,1.19%,0.0652,0.00%,13.97%,0.00%
MC,E31D3,YUCATÁN,MERIDA,1.80%,0.0163,0.00%,5.00%,0.00%
MORENA,E31D3,YUCATÁN,MERIDA,26.35%,0.0129,24.22%,28.88%,0.58%
PAN,E31D3,YUCATÁN,MERIDA,30.94%,0.0122,28.93%,33.34%,88.19%
PRD,E31D3,YUCATÁN,MERIDA,0.00%,0.0148,0.00%,2.91%,0.00%
PRI,E31D3,YUCATÁN,MERIDA,19.97%,0.1078,0.00%,41.09%,10.44%
PT,E31D3,YUCATÁN,MERIDA,0.00%,0.0043,0.00%,0.85%,0.00%
PVEM,E31D3,YUCATÁN,MERIDA,7.60%,0.1122,0.00%,29.59%,0.78%
RSP,E31D3,YUCATÁN,MERIDA,0.00%,0.0137,0.00%,2.69%,0.00%
ES,E31D4,YUCATÁN,MERIDA,1.37%,0.0665,0.00%,14.41%,0.00%
MC,E31D4,YUCATÁN,MERIDA,2.00%,0.0169,0.00%,5.32%,0.00%
MORENA,E31D4,YUCATÁN,MERIDA,25.21%,0.0101,23.55%,27.19%,0.00%
PAN,E31D4,YUCATÁN,MERIDA,35.02%,0.0230,31.23%,39.53%,91.26%
PRD,E31D4,YUCATÁN,MERIDA,0.00%,0.0157,0.00%,3.07%,0.00%
PRI,E31D4,YUCATÁN,MERIDA,19.82%,0.1150,0.00%,42.37%,7.99%
PT,E31D4,YUCATÁN,MERIDA,0.00%,0.0102,0.00%,2.01%,0.00%
PVEM,E31D4,YUCATÁN,MERIDA,8.40%,0.1131,0.00%,30.57%,0.76%
RSP,E31D4,YUCATÁN,MERIDA,0.00%,0.0129,0.00%,2.53%,0.00%
ES,E31D5,YUCATÁN,TICUL,1.01%,0.0764,0.00%,15.98%,0.04%
MC,E31D5,YUCATÁN,TICUL,0.91%,0.0087,0.00%,2.61%,0.00%
PAN,E31D5,YUCATÁN,TICUL,26.83%,0.0225,23.13%,31.24%,61.58%
PRD,E31D5,YUCATÁN,TICUL,2.76%,0.0119,0.81%,5.08%,0.00%
PRI,E31D5,YUCATÁN,TICUL,26.60%,0.1372,0.00%,53.49%,15.97%
PVEM,E31D5,YUCATÁN,TICUL,33.51%,0.1470,9.33%,62.31%,22.41%
RSP,E31D5,YUCATÁN,TICUL,2.10%,0.0159,0.00%,5.23%,0.00%
ES,E32D1,ZACATECAS,FRESNILLO,4.15%,0.0552,0.00%,14.97%,0.00%
MC,E32D1,ZACATECAS,FRESNILLO,0.24%,0.0194,0.00%,4.04%,0.00%
MORENA,E32D1,ZACATECAS,FRESNILLO,59.95%,0.0961,44.14%,78.79%,94.29%
PRI,E32D1,ZACATECAS,FRESNILLO,29.48%,0.1188,9.94%,52.76%,5.71%
RSP,E32D1,ZACATECAS,FRESNILLO,3.41%,0.0343,0.00%,10.12%,0.00%
ES,E32D2,ZACATECAS,JEREZ DE GARCIA SALINAS,3.19%,0.0712,0.00%,17.14%,0.00%
MC,E32D2,ZACATECAS,JEREZ DE GARCIA SALINAS,0.53%,0.0100,0.00%,2.49%,0.00%
PAN,E32D2,ZACATECAS,JEREZ DE GARCIA SALINAS,48.77%,0.1079,31.02%,69.92%,67.13%
PVEM,E32D2,ZACATECAS,JEREZ DE GARCIA SALINAS,34.42%,0.1073,16.78%,55.45%,32.87%
RSP,E32D2,ZACATECAS,JEREZ DE GARCIA SALINAS,4.13%,0.0383,0.00%,11.64%,0.00%
ES,E32D3,ZACATECAS,ZACATECAS,1.14%,0.0430,0.00%,9.57%,0.00%
MC,E32D3,ZACATECAS,ZACATECAS,0.98%,0.0118,0.00%,3.28%,0.00%
PRI,E32D3,ZACATECAS,ZACATECAS,32.09%,0.1083,14.27%,53.32%,20.56%
PT,E32D3,ZACATECAS,ZACATECAS,49.71%,0.0888,35.10%,67.12%,79.44%
RSP,E32D3,ZACATECAS,ZACATECAS,6.31%,0.0318,1.08%,12.55%,0.00%
ES,E32D4,ZACATECAS,GUADALUPE,2.43%,0.0637,0.00%,14.92%,0.00%
MC,E32D4,ZACATECAS,GUADALUPE,2.28%,0.0160,0.00%,5.42%,0.00%
MORENA,E32D4,ZACATECAS,GUADALUPE,34.60%,0.0135,32.37%,37.26%,73.35%
PRD,E32D4,ZACATECAS,GUADALUPE,32.57%,0.1419,9.23%,60.38%,26.27%
PT,E32D4,ZACATECAS,GUADALUPE,8.74%,0.0081,7.42%,10.33%,0.00%
PVEM,E32D4,ZACATECAS,GUADALUPE,9.48%,0.0996,0.00%,29.01%,0.38%
RSP,E32D4,ZACATECAS,GUADALUPE,3.15%,0.0304,0.00%,9.12%,0.00%
